year	ipdi_p25	ipdi_p50	ipdi_p75
1972	.1630929	.573578	1.118898
1973	.2219731	.5405462	.9809853
1974	.1954184	.5584466	1.077897
1975	.3683276	.8902601	1.549427
1976	.2183471	.7977508	1.515758
1977	.2365614	.7543585	1.394282
1978	.3836232	.8687299	1.395388
1979	.3701292	.8483559	1.41016
1980	.2888227	.8179305	1.421806
1981	.3689715	.865157	1.440539
1982	.1576497	.785184	1.302062
1983	.0822481	.5331784	1.190063
1984	.1861022	.6202749	1.165141
1985	.1218994	.566943	1.204162
1986	.1169265	.5961455	1.15321
1987	.1201202	.5208789	1.056141
1988	.1028451	.5337509	1.140436
1989	.1130979	.5811804	1.1194
1990	.2408701	.7290872	1.278317
1991	.1537238	.7342857	1.243151
1992	.1084945	.6520834	1.337902
1993	.1786947	.8082485	1.474434
1994	.2072815	.8168957	1.443491
1995	.2473406	.8036963	1.313352
1996	.2962394	.8441811	1.386276
1997	.2399253	.8069935	1.387017
1998	.2540246	.7982639	1.259192
1999	.2163517	.8058172	1.319768
2000	.0761623	.638782	1.183593
2001	.0273571	.735524	1.413553
2002	.0979027	.8481411	1.613575
2003	.0316573	.630851	1.440615
2004	.0853918	.8460834	1.650384
2005	.1237712	.9494506	1.549441
2006	.2216943	.9437702	1.667189
2007	.1732598	.9123028	1.528642
2008	.0153882	.6778973	1.331875
2009	.0371497	.6417764	1.597463
2010	.0474443	.8075602	1.514601
2011	.1148835	.8500208	1.470474
2012	.0729167	.8234119	1.453658
2013	.0772723	.733681	1.406352
