permno	gvkey	year	debt_issue	chg_ppent	chg_intan	chg_cash	equity_payout	leverage_new	Q_new
10001	"012994"	1989	.4324199	.5712568	0	.0400509	.0404209	.4220022	1.264318
10001	"012994"	1992	.0605033	.0931162	0	-.0199794	.0260741	.3645457	1.389836
10001	"012994"	1993	.151472	.0661166	0	.0153385	.0186012	.3880633	1.7349
10001	"012994"	1995	.0325454	.0871678	0	-.0044994	.0232467	.3856014	1.528026
10001	"012994"	1996	.1056671	.0630996	0	.0083046	.0217295	.4784635	1.453955
10001	"012994"	1997	.0935726	.0267662	0	-.0180545	.0240726	.4984877	1.630624
10001	"012994"	2000	.0950355	.0510408	0	-.0024489	.0261863	.4711132	1.494661
10001	"012994"	2003	.0380725	.0544281	0	.0284548	.0181669	.5815988	.9586393
10001	"012994"	2004	.1423999	-.0202967	0	-.0110644	.0003952	.6211218	1.266241
10008	"012165"	1987	.2632666	.0920516	.1245038	-.0041656	-.0004984	.3966658	1.646945
10010	"012622"	1989	.0328606	.0070299	-.0042506	-.0045231	.0020708	.0906303	10.30823
10010	"012622"	1991	.1596206	.0990767	-.0005651	.0034039	-.0136426	.115023	12.20205
10010	"012622"	1992	.4863142	.1077733	.3295523	.0050069	-.0013948	.4510356	2.565214
10011	"014453"	1989	.0581238	.1068944	.0032569	-.0749096	0	.0685972	5.080881
10011	"014453"	1992	.0458982	.0367927	.0409219	-.0457394	-.0020117	.0626792	7.313673
10011	"014453"	1993	.0430829	-.0177127	.0247261	.0118084	-.0005725	.0699325	10.78441
10011	"014453"	1994	.0448377	.0194327	.1359609	-.0003846	-.0527103	.0493204	9.194175
10011	"014453"	1996	.2282397	.0018	.2484547	-.1159401	-.0007584	.2528446	2.413296
10012	"011907"	1994	.0314902	-.0093205	-.0017765	-.0019955	-.0009734	.0928905	12.10968
10014	"001031"	1973	.1006015	.0451147	0	-.0559085	0	.5365865	1.735389
10015	"001001"	1985	.7522877	.4716269	.6053907	.0389617	-.0717947	.3339354	1.708254
10016	"004641"	1988	.4109587	.1172703	.0622566	.0773391	.007262	.4587296	2.263343
10016	"004641"	1989	.0566797	.0267392	.002606	.0184937	.1061233	.5728453	1.938887
10016	"004641"	1990	.0425484	.0304076	.0054169	.0156578	.0166673	.7001081	1.596277
10016	"004641"	1993	.1259453	-.0936023	-.0325774	-.0922331	.0157871	.7410547	2.168808
10019	"011908"	1992	.0300762	.0085018	.2312312	-.2778375	.0213375	.0933336	2.740203
10019	"011908"	1993	.0612011	.0126229	-.0197689	-.0408883	.0126041	.1603599	2.814993
10019	"011908"	1998	.766217	.1392498	.2375172	-.0153944	.0032176	.7514389	2.086549
10025	"011903"	1989	.2032083	.0977781	0	.2251633	-.0024315	.1953955	3.550813
10025	"011903"	1995	.3376638	.1004253	0	-.0100317	.3163559	.4485942	2.124352
10025	"011903"	1996	1.304907	1.051942	.1530154	.0542024	.0145196	.4905125	2.141265
10025	"011903"	2008	.103114	.0646005	-.0030972	-.0008463	.00715	.6773829	2.060016
10025	"011903"	2011	.1056941	.0005281	.0010674	.0120241	.0430959	.6068181	2.179119
10025	"011903"	2013	.0373765	.0364681	.001472	.0157577	-.0008574	.4501689	2.322658
10026	"012825"	1987	.5517171	.2790073	.0677103	.1899727	-.0006912	.4053882	2.847032
10026	"012825"	1998	.2984458	.1903577	.175973	.0104327	-.0122959	.2174498	1.713201
10027	"012305"	1987	.1775005	.1916558	-.003632	-.0037251	.0010244	.5795687	.9337973
10027	"012305"	1988	.1303473	.0527254	-.0295538	-.0143169	0	.6118721	1.085722
10028	"012096"	1993	.0452131	-.0037488		.021925	.001704	.080639	
10028	"012096"	1996	.0755337	-.0028603	0	.2080619	.0213994	.2770522	7.578514
10028	"012096"	1999	.2068354	.0065316	.0252152	.016962	.0065316	.1879244	18.88735
10028	"012096"	2005	.0428672	.0127793	0	.0392545	0	.2988913	7.118361
10028	"012096"	2006	.0372686	-.006308	0	.0107493	0	.2755715	9.256325
10028	"012096"	2007	.4977829	.1672998	.5613251	-.0355182	-.0041165	.2143332	4.222506
10031	"001003"	1985	.382341	.0478181		-.0855424	0	.2720448	
10031	"001003"	1987	.0908783	.0074473	0	.0121865	0	.3964765	11.78318
10031	"001003"	1988	.1323929	-.006137	0	-.0103078	0	.5902566	12.171
10032	"012945"	1987	.1000372	.0371532	-.0098563	-.0050049	0	.4933906	1.992264
10032	"012945"	1989	.0825741	-.0134378	-.0193274	.007404	-.0000481	.3581828	4.166243
10032	"012945"	1990	.0394724	.0157661	0	.0103774	-.0009521	.4864701	3.220558
10032	"012945"	1991	.0725017	.0271111	0	-.0194502	-.0000205	.2080375	8.08989
10032	"012945"	1993	.1448169	.0560396	0	-.0003244	0	.292324	7.02464
10032	"012945"	2000	.1741634	.0624288	.0568997	-.0324029	-.0097161	.1071478	10.10121
10032	"012945"	2008	.0924591	.0125516	-.0005038	-.0276172	.1245269	.2043712	4.494783
10032	"012945"	2011	.0833893	.0157463	0	.0284698	.1028228	.2327711	4.65426
10035	"011974"	1989	.1228482	.1129677	0	-.0049666	-.0063881	.113975	3.386842
10035	"011974"	1999	.2434622	.0333412	0	-.0021328	-.0966714	.2358935	2.995871
10035	"011974"	2002	.1191879	-.0299789	0	-.0149717	-.0263413	.503566	2.368716
10038	"012055"	1987	.0821687	-.0480685	0	.0730833	0	.4614984	.8896431
10039	"011948"	1988	.0406614	-.0276498	0	-.2239089	.0005422	.0568106	6.511433
10039	"011948"	1991	.2827966	.0766693	0	-.1627651	0	.2294967	7.371476
10042	"012139"	1987	.0793366	.511294	0	-.1295018	0	.0865884	1.583041
10042	"012139"	2003	.0646589	-.0945108	0	.1100108	-.1969679	.0369077	4.777446
10043	"012307"	1987	.0304317	.0635471	0	.0146166	-.0037779	.1493418	2.868556
10043	"012307"	1989	.0601252	.0702488	.0750905	-.0772253	.0035653	.1968316	1.787608
10043	"012307"	1994	.0333883	-.0012556	.0077482	-.0037502	.0006773	.1652772	1.958346
10044	"011976"	1987	.1194619	-.0078983	-.003385	.0290545	.0269389	.4376203	2.561812
10044	"011976"	1991	.121712	.1048125	-.004135	-.0275065	.0179781	.1561144	4.287691
10044	"011976"	1994	.0627566	.1298111	-.0008037	-.0214547	-.0013977	.0656825	6.081133
10044	"011976"	1996	.0796935	.0320385	-.0005612	.0064419	-.0006588	.2822667	1.92993
10044	"011976"	1998	.0335478	.0222083	.0323315	-.0579926	.0660363	.3689612	1.855305
10044	"011976"	2013	.0908355	.0242985	.1342521	.0076359	.0354117	.0826801	3.910222
10048	"012102"	1988	.6703547	.1564124	.4475427	-.0045453	.0054522	.8840195	1.108398
10048	"012102"	1989	.2104559	.0730244	.0767132	.0030278	-.0007607	.7353684	1.419863
10048	"012102"	1990	.0701799	.0189537	-.0115942	.0134245	-.000184	.9245707	1.228743
10048	"012102"	1993	.0540157	-.0077027	.0034664	.0008982	-.0016713	.8280259	1.510489
10048	"012102"	1994	.2647415	.0493143	.178101	.0897746	.0607295	.9088201	1.348965
10048	"012102"	1995	.1447254	.0596875	.1024231	-.0266799	-.0011712	.9023014	1.279429
10048	"012102"	1996	.0374659	.0227047	-.0480293	-.0044992	-.0005679	.9296836	1.357296
10051	"016456"	1992	.0496834	.0234965	.1270559	.012029	-.156704	.1901468	2.618017
10051	"016456"	1993	.0511399	.0180161	.0170812	.00015	-.0012926	.2814082	2.067368
10051	"016456"	1994	.0821388	-.0007887	.0123819	-.0046794	.0002629	.5154673	1.440995
10051	"016456"	1996	.8449638	.181228	.7308053	.0972582	-.0004372	.5333205	1.573722
10051	"016456"	2003	.0332009	.0098051	.0178635	.0111672	.0459587	.5643931	1.402753
10051	"016456"	2006	.0508757	-.0019011	-.0006922	.0240495	.0282169	.7128263	1.171787
10051	"016456"	2010	.1023784	.042732	.1617213	-.055484	-.0129094	.4196985	1.615207
10055	"011863"	1991	.0456757	.0305425		.0239028	-.2194378	.5222758	
10057	"001098"	1973	.0500867	.0145058		.0092148	.0381597	.2472651	
10057	"001098"	1974	.5123928	.1497495		.0167513	.0469225	.6458603	2.040045
10057	"001098"	1975	.0329317	.0235951	-.0017226	.0077035	.0210521	.6472797	2.053341
